code_muni,year,uf,municipality,population_2010,rural_share_2010,extreme_poverty_pct_2010,vulnerable_poverty_pct_2010,income_pc_2010,agricultural_employment_pct_2010,adult_illiteracy_pct_2010,public_sector_employment_pct_2010,idhm_2010,log_population_2010,population_class,adoption_year,value_transferred,value_family_farming,af_share_observed,pnae_record_observed,af_share,compliant_30,treated_currently
1100114,2014,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,519030,285454.86,54.99775735506618,TRUE,54.99775735506618,1,FALSE
1100114,2015,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,527196.4,236943.34,44.94403603666489,TRUE,44.94403603666489,1,FALSE
1100114,2016,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,823130.62,255343.58,31.021027987028347,TRUE,31.021027987028347,1,FALSE
1100114,2017,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,522782,217949.89,41.69039676193901,TRUE,41.69039676193901,1,FALSE
1100114,2018,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,529866,277041.48,52.29,TRUE,52.29,1,FALSE
1100114,2019,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,555350,225483.82,40.6,TRUE,40.6,1,FALSE
1100114,2020,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,604340,17906.66,2.9630108879107784,TRUE,2.9630108879107784,0,FALSE
1100114,2021,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,639478.4,174231.05,27.245806895119514,TRUE,27.245806895119514,0,FALSE
1100114,2022,RO,JARU,52005,32.47187770406692,4.32,32.12,575.14,23.48,11.49,7.7,0.689,10.859095146787233,50_a_100_mil,,549402,222527.15,40.50352019104408,TRUE,40.50352019104408,1,FALSE
1100122,2014,RO,JI-PARANÁ,116610,10.07803790412486,2.67,26.26,743.35,12.17,8.38,7.09,0.714,11.666590312514378,100_a_500_mil,2026,640440,221836.47,34.63813471988008,TRUE,34.63813471988008,1,FALSE
1100122,2015,RO,JI-PARANÁ,116610,10.07803790412486,2.67,26.26,743.35,12.17,8.38,7.09,0.714,11.666590312514378,100_a_500_mil,2026,728384,314101.12,43.123012037606536,TRUE,43.123012037606536,1,FALSE
1100122,2016,RO,JI-PARANÁ,116610,10.07803790412486,2.67,26.26,743.35,12.17,8.38,7.09,0.714,11.666590312514378,100_a_500_mil,2026,835434.47,320973.56,38.419956504787265,TRUE,38.419956504787265,1,FALSE
