code_muni,uf,municipality,adoption_year,resolution
3145307,MG,Novo Cruzeiro,2024,Nº 2 - 08/03/2024
3145356,MG,Novo Oriente de Minas,2024,Nº 9 - 20/08/2024
3145455,MG,Olhos-d'Água,2024,Nº 2 - 08/03/2024
3145851,MG,Oratórios,2026,Nº 26 - 26/07/2026
3146107,MG,Ouro Preto,2025,Nº 2 - 24/02/2025
3146206,MG,Ouro Verde de Minas,2024,Nº 2 - 08/03/2024
3146255,MG,Padre Carvalho,2026,Nº 26 - 26/07/2026
3146552,MG,Pai Pedro,2025,Nº 2 - 24/02/2025
3147006,MG,Paracatu,2024,Nº 2 - 08/03/2024
3147204,MG,Paraguaçu,2025,Nº 2 - 24/02/2025
3147907,MG,Passos,2024,Nº 13 - 13/12/2024
3148301,MG,Paula Cândido,2025,Nº 9 - 30/06/2025
3148608,MG,Peçanha,2022,Nº 4 - 20/07/2022
3148707,MG,Pedra Azul,2025,Nº 13 - 17/09/2025
3148806,MG,Pedra do Anta,2026,Nº 22 - 29/04/2026
3149150,MG,Pedras de Maria da Cruz,2026,Nº 22 - 29/04/2026
3149903,MG,Perdões,2025,Nº 14 - 16/10/2025
3149952,MG,Periquito,2026,N° 28 - 26/08/2026
3150000,MG,Pescador,2025,Nº 9 - 30/06/2025
3150158,MG,Piedade de Caratinga,2021,Nº 2 - 25/11/2021
3150539,MG,Pingo-d'Água,2021,Nº 2 - 25/11/2021
3150570,MG,Pintópolis,2025,Nº 14 - 16/10/2025
3151206,MG,Pirapora,2026,N° 28 - 26/08/2026
3151503,MG,Piumhi,2023,Nº 4 - 21/12/2023
3151800,MG,Poços de Caldas,2014,Nº 4 - 20/03/2014
3151909,MG,Pocrane,2025,Nº 9 - 30/06/2025
3152006,MG,Pompéu,2024,Nº 2 - 08/03/2024
3152105,MG,Ponte Nova,2025,Nº 9 - 30/06/2025
3152131,MG,Ponto Chique,2024,Nº 8 - 03/07/2024
3152204,MG,Porteirinha,2024,Nº 9 - 20/08/2024
